configured,dist_a,dist_b,n_entities,n_metrics,n_periods,seed,observed,error
0.3,lognorm,lognorm,100,2,24,7000,0.2594215974770199,0.04057840252298006
0.3,lognorm,lognorm,100,2,24,7001,0.2663795360812796,0.03362046391872037
0.3,lognorm,lognorm,100,2,24,7002,0.25258472627495937,0.04741527372504062
0.3,lognorm,lognorm,100,2,24,7003,0.23738070785545434,0.06261929214454565
0.3,lognorm,lognorm,100,2,24,7004,0.30307233614889495,0.0030723361488949608
0.7,lognorm,lognorm,100,2,24,7000,0.6539908201419639,0.0460091798580361
0.7,lognorm,lognorm,100,2,24,7001,0.6723858959079306,0.027614104092069325
0.7,lognorm,lognorm,100,2,24,7002,0.6517951428881744,0.04820485711182554
0.7,lognorm,lognorm,100,2,24,7003,0.6699428600312469,0.030057139968753033
0.7,lognorm,lognorm,100,2,24,7004,0.6935674986968905,0.006432501303109461
-0.7,normal,gamma,100,2,24,7000,-0.6763244243041484,0.023675575695851547
-0.7,normal,gamma,100,2,24,7001,-0.655917861078763,0.04408213892123691
-0.7,normal,gamma,100,2,24,7002,-0.6643772201232655,0.035622779876734456
-0.7,normal,gamma,100,2,24,7003,-0.6553831873444472,0.04461681265555273
-0.7,normal,gamma,100,2,24,7004,-0.6581639719338054,0.041836028066194575
-0.3,normal,gamma,100,2,24,7000,-0.30042019113375124,0.0004201911337512465
-0.3,normal,gamma,100,2,24,7001,-0.2764379738987047,0.023562026101295264
-0.3,normal,gamma,100,2,24,7002,-0.3034163303064205,0.003416330306420523
-0.3,normal,gamma,100,2,24,7003,-0.2712302570010137,0.02876974299898627
-0.3,normal,gamma,100,2,24,7004,-0.2877464524166909,0.012253547583309099
0.0,normal,gamma,100,2,24,7000,-0.012668076830681736,0.012668076830681736
0.0,normal,gamma,100,2,24,7001,0.003247145995658278,0.003247145995658278
0.0,normal,gamma,100,2,24,7002,-0.023330606460072914,0.023330606460072914
0.0,normal,gamma,100,2,24,7003,0.002725172322360122,0.002725172322360122
0.0,normal,gamma,100,2,24,7004,-0.01346837198342366,0.01346837198342366
0.3,normal,gamma,100,2,24,7000,0.27393847276547667,0.02606152723452332
0.3,normal,gamma,100,2,24,7001,0.28474144737765356,0.015258552622346433
0.3,normal,gamma,100,2,24,7002,0.2664864063379381,0.033513593662061913
0.3,normal,gamma,100,2,24,7003,0.27845037842731746,0.02154962157268253
0.3,normal,gamma,100,2,24,7004,0.2635754258167873,0.03642457418321271
0.7,normal,gamma,100,2,24,7000,0.6564907111292644,0.043509288870735574
0.7,normal,gamma,100,2,24,7001,0.6663888412417249,0.03361115875827503
0.7,normal,gamma,100,2,24,7002,0.6583671493048258,0.041632850695174195
0.7,normal,gamma,100,2,24,7003,0.661874052820545,0.038125947179454944
0.7,normal,gamma,100,2,24,7004,0.6471375471842081,0.05286245281579183
-0.7,weibull,normal,100,2,24,7000,-0.6669674337951281,0.03303256620487183
-0.7,weibull,normal,100,2,24,7001,-0.673750851997967,0.02624914800203293
-0.7,weibull,normal,100,2,24,7002,-0.687827692468127,0.012172307531872928
-0.7,weibull,normal,100,2,24,7003,-0.6734680082964604,0.026531991703539592
-0.7,weibull,normal,100,2,24,7004,-0.6881227705796882,0.011877229420311775
-0.3,weibull,normal,100,2,24,7000,-0.2714759064003345,0.028524093599665512
-0.3,weibull,normal,100,2,24,7001,-0.30348000768593897,0.0034800076859389795
